E	I	E	I	E	I	E	I	E	I	E	I
V	nA	V	nA	V	nA	V	nA	V	nA	V	nA
	Sine 1 mHz		Sine 5 mHz		Sine 10 mHz		Sine 50 mHz		Sine 100 mHz		Sine 200 mHz
0.28436	51.70415	-0.10038	-13.31553	-0.10038	-14.1353						
											
0.28029	50.61272	-0.0872	-11.11998	-0.0872	-11.86225						
											
0.27617	49.48228	-0.07393	-9.06893	-0.07393	-9.7172						
											
0.272	48.33076	-0.06059	-7.14235	-0.06059	-7.67921						
											
0.2678	47.19967	-0.04718	-5.33455	-0.04718	-5.74785						
											
0.26355	46.06708	-0.03374	-3.64035	-0.03374	-3.91473						
											
0.25926	44.95362	-0.02026	-2.04728	-0.02026	-2.17861						
											
0.25493	43.82683	-0.00675	-0.54165	-0.00675	-0.52862						
											
0.25056	42.68654	0.00675	0.8906	0.00675	1.05128						
											
0.24614	41.53384										
											
0.24169	40.42937										
											
0.23721	39.31393										
											
0.23268	38.17379										
											
0.22812	37.05444										
											
0.22352	35.94597										
											
0.21889	34.83307										
											
0.21422	33.72736										
											
0.20952	32.61691										
											
0.20478	31.5178										
											
0.20001	30.42554										
											
0.19521	29.3166										
											
0.19038	28.25265										
											
0.18552	27.20772										
											
0.18064	26.16279										
											
0.17572	25.1396										
											
0.17077	24.12113										
											
0.1658	23.13117										
											
0.1608	22.15343										
											
0.15578	21.19024										
											
0.15073	20.25669										
											
0.14566	19.31317										
											
0.14056	18.37502										
											
0.13544	17.45664										
											
0.1303	16.57229										
											
0.12514	15.70515										
											
0.11997	14.83532										
											
0.11477	13.9914										
											
0.10955	13.16119										
											
0.10432	12.35292										
											
0.09907	11.57171										
											
0.0938	10.8027										
											
0.08852	10.05519										
											
0.08323	9.31707										
											
0.07792	8.60186										
											
0.0726	7.90571										
											
0.06727	7.23755										
											
0.06192	6.57777										
											
0.05657	5.93579										
											
0.05121	5.30613										
											
0.04584	4.69779										
											
0.04047	4.10446										
											
0.03508	3.52361										
											
0.0297	2.95972										
											
0.0243	2.40804										
											
0.01891	1.86941										
											
0.01351	1.34111										
											
0.0081	0.822										
											
0.0027	0.3107										
											
-0.0027	-0.19296										
											
-0.0081	-0.69033										
											
-0.01351	-1.18391										
											
-0.01891	-1.67394										
											
-0.0243	-2.16377										
											
-0.0297	-2.65411										
											
-0.03508	-3.15179										
											
-0.04047	-3.64646										
											
-0.04584	-4.14331										
											
-0.05121	-4.65016										
											
-0.05657	-5.17267										
											
-0.06192	-5.70145										
											
-0.06727	-6.23841										
											
-0.0726	-6.79809										
											
-0.07792	-7.36008										
											
-0.08323	-7.94537										
											
-0.08852	-8.54176										
											
-0.0938	-9.1679										
											
-0.09907	-9.82187										
											
-0.10432	-10.47433										
											
-0.10955	-11.17218										
											
-0.11477	-11.9176										
											
-0.11997	-12.65758										
											
-0.12514	-13.42049										
											
-0.1303	-14.2423										
											
-0.13544	-15.08486										
											
-0.14056	-15.95256										
											
-0.14566	-16.97225										
											
-0.15073	-17.93237										
											
-0.15578	-18.88969										
											
-0.1608	-19.87733										
											
-0.1658	-20.90449										
											
-0.17077	-21.98759										
											
-0.17572	-23.08657										
											
-0.18064	-24.23772										
											
-0.18552	-25.39013										
											
-0.19038	-26.55509										
											
-0.19521	-27.72407										
											
-0.20001	-28.9149										
											
-0.20478	-30.11392										
											
-0.20952	-31.3489										
											
-0.21422	-32.59368										
											
-0.21889	-33.84953										
											
-0.22352	-35.09508										
											
-0.22812	-36.3868										
											
-0.23268	-37.68417										
											
-0.23721	-38.98899										
											
-0.24169	-40.30846										
											
-0.24614	-41.62575										
											
-0.25056	-43.00929										
											
-0.25493	-44.33542										
											
-0.25926	-45.70755										
											
-0.26355	-47.08172										
											
-0.2678	-48.47269										
											
-0.272	-49.87556										
											
-0.27617	-51.3015										
											
-0.28029	-52.78036										
											
-0.28436	-54.40398										
											
-0.28839	-56.16518										
											
-0.29238	-58.00247										
											
-0.29632	-59.74297										
											
-0.30021	-61.31403										
											
-0.30405	-62.77219										
											
-0.30785	-64.2175										
											
-0.3116	-65.61306										
											
-0.3153	-66.97312										
											
-0.31895	-68.31										
											
-0.32255	-69.69786										
											
-0.32609	-71.05274										
											
-0.32959	-72.37447										
											
-0.33303	-73.70771										
											
-0.33643	-75.00259										
											
-0.33976	-76.34259										
											
-0.34305	-77.66091										
											
-0.34628	-78.8989										
											
-0.34946	-80.14252										
											
-0.35258	-81.44046										
											
-0.35564	-82.63262										
											
-0.35865	-83.80509										
											
-0.3616	-84.97407										
											
-0.3645	-86.13201										
											
-0.36734	-87.23513										
											
-0.37012	-88.32431										
											
-0.37284	-89.40277										
											
-0.3755	-90.41741										
											
-0.3781	-91.47647										
											
-0.38065	-92.49104										
											
-0.38313	-93.44925										
											
-0.38555	-94.41561										
											
-0.38792	-95.37677										
											
-0.39022	-96.26282										
											
-0.39245	-97.19553										
											
-0.39463	-98.0841										
											
-0.39675	-98.95291										
											
-0.3988	-99.78073										
											
-0.40079	-100.5433										
											
-0.40271	-101.3518										
											
-0.40458	-102.0824										
											
-0.40637	-102.8077										
											
-0.40811	-103.5306										
											
-0.40978	-104.2272										
											
-0.41138	-104.8479										
											
-0.41292	-105.4506										
											
-0.4144	-105.9675										
											
-0.41581	-106.2308										
											
-0.41715	-106.3382										
											
-0.41843	-106.354										
											
-0.41964	-106.3545										
											
-0.42079	-106.3545										
											
-0.42187	-106.3545										
											
-0.42288	-106.3545										
											
-0.42382	-106.3545										
											
-0.4247	-106.3545										
											
-0.42551	-106.3545										
											
-0.42626	-106.3545										
											
-0.42694	-106.3545										
											
-0.42755	-106.3545										
											
-0.42809	-106.3545										
											
-0.42856	-106.3545										
											
-0.42897	-106.3545										
											
-0.42931	-106.3545										
											
-0.42958	-106.3545										
											
-0.42979	-106.3545										
											
-0.42992	-106.3545										
											
-0.42999	-106.3545										
											
-0.42999	-106.3545										
											
-0.42992	-106.3545										
											
-0.42979	-106.3545										
											
-0.42958	-106.3545										
											
-0.42931	-106.3545										
											
-0.42897	-106.3545										
											
-0.42856	-106.3545										
											
-0.42809	-106.3545										
											
-0.42755	-106.3545										
											
-0.42694	-106.3545										
											
-0.42626	-106.3545										
											
-0.42551	-106.3545										
											
-0.4247	-106.3545										
											
-0.42382	-106.3545										
											
-0.42288	-106.3545										
											
-0.42187	-106.3545										
											
