E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	15.4 mHz		26.0 mHz		55.6 mHz		1.7 mHz		0.55 mHz
						-0.612	-2.67537E-8	0.706	7.22475E-8
						-0.618	-2.72103E-8	0.708	7.25645E-8
						-0.624	-2.76351E-8	0.71	7.27254E-8
						-0.63	-2.8085E-8	0.712	7.34105E-8
						-0.636	-2.85164E-8	0.714	7.35915E-8
						-0.642	-2.8931E-8	0.716	7.42898E-8
						-0.648	-2.95103E-8	0.718	7.46875E-8
						-0.654	-2.98959E-8	0.72	7.46989E-8
						-0.66	-3.02816E-8	0.722	7.49763E-8
						-0.666	-3.08324E-8	0.724	7.5449E-8
						-0.672	-3.14276E-8	0.726	7.54412E-8
						-0.678	-3.18463E-8	0.728	7.58911E-8
						-0.684	-3.25999E-8	0.73	7.5944E-8
						-0.69	-3.29426E-8	0.732	7.63883E-8
						-0.696	-3.34772E-8	0.734	7.66958E-8
						-0.702	-3.41192E-8	0.736	7.70391E-8
						-0.708	-3.45675E-8	0.738	7.69809E-8
						-0.714	-3.45801E-8	0.74	7.73641E-8
						-0.72	-3.52248E-8	0.742	7.77094E-8
						-0.726	-3.55888E-8	0.744	7.79086E-8
						-0.732	-3.63088E-8	0.746	7.85655E-8
						-0.738	-3.65705E-8	0.748	7.85891E-8
						-0.744	-3.69123E-8	0.75	7.92255E-8
						-0.75	-3.7742E-8	0.75	7.93383E-8
						-0.75	-3.78004E-8	0.748	7.87438E-8
						-0.744	-3.74052E-8	0.746	7.86493E-8
						-0.738	-3.67955E-8	0.744	7.83427E-8
						-0.732	-3.66781E-8	0.742	7.79772E-8
						-0.726	-3.599E-8	0.74	7.73393E-8
						-0.72	-3.53322E-8	0.738	7.66466E-8
						-0.714	-3.47617E-8	0.736	7.67353E-8
						-0.708	-3.43491E-8	0.734	7.65844E-8
						-0.702	-3.38163E-8	0.732	7.59617E-8
						-0.696	-3.33903E-8	0.73	7.56006E-8
						-0.69	-3.30023E-8	0.728	7.54937E-8
						-0.684	-3.27378E-8	0.726	7.51143E-8
						-0.678	-3.2254E-8	0.724	7.47938E-8
						-0.672	-3.18261E-8	0.722	7.436E-8
						-0.666	-3.13287E-8	0.72	7.42962E-8
						-0.66	-3.10527E-8	0.718	7.38129E-8
						-0.654	-3.05439E-8	0.716	7.34972E-8
						-0.648	-2.99684E-8	0.714	7.31903E-8
						-0.642	-2.96677E-8	0.712	7.2932E-8
						-0.636	-2.92627E-8	0.71	7.30576E-8
						-0.63	-2.86624E-8	0.708	7.26471E-8
						-0.624	-2.82893E-8	0.706	7.24931E-8
						-0.618	-2.75884E-8	0.704	7.22615E-8
						-0.612	-2.72679E-8	0.702	7.19062E-8
						-0.606	-2.6695E-8	0.7	7.12955E-8
						-0.6	-2.61779E-8	0.698	7.08776E-8
						-0.594	-2.54566E-8	0.696	7.06503E-8
						-0.588	-2.51914E-8	0.694	7.04446E-8
						-0.582	-2.48619E-8	0.692	7.01026E-8
						-0.576	-2.44292E-8	0.69	6.97183E-8
						-0.57	-2.39862E-8	0.688	6.93492E-8
						-0.564	-2.34897E-8	0.686	6.91445E-8
						-0.558	-2.31465E-8	0.684	6.88678E-8
						-0.552	-2.28095E-8	0.682	6.88013E-8
						-0.546	-2.24541E-8	0.68	6.86106E-8
						-0.54	-2.19535E-8	0.678	6.82138E-8
						-0.534	-2.16125E-8	0.676	6.77775E-8
						-0.528	-2.11693E-8	0.674	6.74228E-8
						-0.522	-2.08545E-8	0.672	6.74334E-8
						-0.516	-2.05535E-8	0.67	6.72233E-8
						-0.51	-2.00754E-8	0.668	6.67562E-8
						-0.504	-1.96932E-8	0.666	6.66085E-8
						-0.498	-1.93268E-8	0.664	6.63089E-8
						-0.492	-1.89207E-8	0.662	6.58734E-8
						-0.486	-1.85657E-8	0.66	6.55399E-8
						-0.48	-1.81699E-8	0.658	6.52126E-8
						-0.474	-1.77928E-8	0.656	6.50396E-8
						-0.468	-1.7299E-8	0.654	6.43858E-8
						-0.462	-1.68996E-8	0.652	6.39578E-8
						-0.456	-1.65533E-8	0.65	6.35938E-8
						-0.45	-1.61136E-8	0.648	6.31562E-8
						-0.444	-1.58933E-8	0.646	6.29515E-8
						-0.438	-1.54327E-8	0.644	6.26531E-8
						-0.432	-1.50581E-8	0.642	6.26633E-8
						-0.426	-1.47814E-8	0.64	6.20788E-8
						-0.42	-1.44386E-8	0.638	6.20702E-8
						-0.414	-1.4042E-8	0.636	6.17399E-8
						-0.408	-1.37706E-8	0.634	6.11926E-8
						-0.402	-1.34683E-8	0.632	6.10873E-8
						-0.396	-1.30737E-8	0.63	6.0801E-8
						-0.39	-1.28283E-8	0.628	6.06367E-8
						-0.384	-1.25056E-8	0.626	5.99241E-8
						-0.378	-1.20463E-8	0.624	5.99255E-8
						-0.372	-1.17844E-8	0.622	5.97901E-8
						-0.366	-1.15059E-8	0.62	5.94359E-8
						-0.36	-1.11712E-8	0.618	5.92154E-8
						-0.354	-1.08845E-8	0.616	5.88658E-8
						-0.348	-1.06278E-8	0.614	5.87458E-8
						-0.342	-1.03224E-8	0.612	5.85311E-8
						-0.336	-1.00319E-8	0.61	5.80292E-8
						-0.33	-9.69841E-9	0.608	5.76893E-8
						-0.324	-9.42083E-9	0.606	5.74993E-8
						-0.318	-9.16851E-9	0.604	5.72481E-8
						-0.312	-8.89275E-9	0.602	5.68986E-8
						-0.306	-8.67851E-9	0.6	5.65463E-8
						-0.3	-8.37932E-9	0.598	5.64262E-8
						-0.294	-8.09655E-9	0.596	5.61572E-8
						-0.288	-7.82955E-9	0.594	5.57909E-8
						-0.282	-7.57754E-9	0.592	5.5688E-8
						-0.276	-7.3036E-9	0.59	5.5408E-8
						-0.27	-7.04444E-9	0.588	5.51303E-8
						-0.264	-6.81268E-9	0.586	5.46154E-8
						-0.258	-6.57536E-9	0.584	5.42596E-8
						-0.252	-6.34926E-9	0.582	5.40931E-8
						-0.246	-6.07241E-9	0.58	5.38361E-8
						-0.24	-5.79646E-9	0.578	5.34064E-8
						-0.234	-5.57287E-9	0.576	5.3358E-8
						-0.228	-5.33484E-9	0.574	5.29073E-8
						-0.222	-5.11766E-9	0.572	5.26889E-8
						-0.216	-4.90817E-9	0.57	5.24822E-8
						-0.21	-4.68952E-9	0.568	5.21041E-8
						-0.204	-4.49535E-9	0.566	5.18323E-8
						-0.198	-4.26375E-9	0.564	5.16882E-8
						-0.192	-4.04498E-9	0.562	5.13476E-8
						-0.186	-3.85282E-9	0.56	5.10145E-8
						-0.18	-3.66781E-9	0.558	5.06841E-8
						-0.174	-3.47649E-9	0.556	5.0434E-8
						-0.168	-3.29824E-9	0.554	5.02675E-8
						-0.162	-3.12303E-9	0.552	4.99158E-8
						-0.156	-2.95943E-9	0.55	4.9582E-8
						-0.15	-2.78103E-9	0.548	4.94384E-8
