E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	1 mHz		9 mHz		81 mHz		95 mHz		112 mHz

0.238	3.15233E-8								
0.236	3.10101E-8								
0.234	3.0471E-8								
0.232	2.99014E-8								
0.23	2.93162E-8								
0.228	2.87235E-8								
0.226	2.81017E-8								
0.224	2.74625E-8								
0.222	2.68691E-8								
0.22	2.6274E-8								
0.218	2.56522E-8								
0.216	2.50853E-8								
0.214	2.44471E-8								
0.212	2.38516E-8								
0.21	2.32512E-8								
0.208	2.26901E-8								
0.206	2.21568E-8								
0.204	2.16017E-8								
0.202	2.10903E-8								
0.2	2.05617E-8								
0.198	2.00148E-8								
0.196	1.95256E-8								
0.194	1.90625E-8								
0.192	1.85924E-8								
0.19	1.81459E-8								
0.188	1.7719E-8								
0.186	1.72726E-8								
0.184	1.68691E-8								
0.182	1.64752E-8								
0.18	1.60832E-8								
0.178	1.56845E-8								
0.176	1.52967E-8								
0.174	1.49188E-8								
0.172	1.45082E-8								
0.17	1.41456E-8								
0.168	1.38026E-8								
0.166	1.34352E-8								
0.164	1.30831E-8								
0.162	1.27097E-8								
0.16	1.23591E-8								
0.158	1.19925E-8								
0.156	1.16211E-8								
0.154	1.12442E-8								
0.152	1.0859E-8								
0.15	1.04996E-8								
0.148	1.0133E-8								
0.146	9.73845E-9								
0.144	9.4099E-9								
0.142	9.08506E-9								
0.14	8.79788E-9								
0.138	8.52299E-9								
0.136	8.26347E-9								
0.134	8.01313E-9								
0.132	7.75325E-9								
0.13	7.51507E-9								
0.128	7.25639E-9								
0.126	7.01118E-9								
0.124	6.76835E-9								
0.122	6.54757E-9								
0.12	6.30057E-9								
0.118	6.06775E-9								
0.116	5.84865E-9								
0.114	5.61059E-9								
0.112	5.37312E-9								
0.11	5.15461E-9								
0.108	4.94242E-9								
0.106	4.69303E-9								
0.104	4.4564E-9								
0.102	4.24409E-9								
0.1	4.02629E-9								
0.098	3.80433E-9								
0.096	3.56734E-9								
0.094	3.34203E-9								
0.092	3.14105E-9								
0.09	2.91228E-9								
0.088	2.68567E-9								
0.086	2.48456E-9								
0.084	2.2999E-9								
0.082	2.13349E-9								
0.08	1.97995E-9								
0.078	1.80066E-9								
0.076	1.32835E-9								
0.074	1.25563E-9								
0.072	1.21272E-9								
0.07	1.16563E-9								
0.068	1.11771E-9								
0.066	1.07276E-9								
0.064	1.02448E-9								
0.062	9.799E-10								
0.06	9.2423E-10								
0.058	8.7142E-10								
0.056	8.16464E-10								
0.054	7.52926E-10								
0.052	6.81996E-10								
0.05	6.43253E-10								
0.048	6.00934E-10								
0.046	5.76138E-10								
0.044	5.3978E-10								
0.042	5.14269E-10								
0.04	4.84586E-10								
0.038	4.62651E-10								
0.036	4.32968E-10								
0.034	4.01258E-10								
0.032	3.7086E-10								
0.03	3.43919E-10								
0.028	3.2258E-10								
0.026	2.9695E-10								
0.024	2.6989E-10								
0.022	2.46525E-10								
0.02	2.26974E-10								
0.018	1.98007E-10								
0.016	1.77145E-10								
0.014	1.55449E-10								
0.012	1.32918E-10								
0.01	1.09196E-10								
0.008	8.57115E-11								
0.006	6.11544E-11								
0.004	4.25577E-11								
0.002	1.7643E-11								
0	-1.23978E-11								
-0.002	-3.48091E-11								
-0.004	-5.87702E-11								
-0.006	-8.98838E-11								
-0.008	-1.09076E-10								
-0.01	-1.297E-10								
-0.012	-1.50085E-10								
-0.014	-1.79768E-10								
-0.016	-2.05874E-10								
-0.018	-2.34485E-10								
-0.02	-2.50459E-10								
-0.022	-2.72632E-10								
-0.024	-3.00288E-10								
-0.026	-3.30806E-10								
-0.028	-3.58582E-10								
-0.03	-3.85523E-10								
-0.032	-4.10438E-10								
-0.034	-4.37498E-10								
-0.036	-4.70757E-10								
-0.038	-5.00441E-10								
-0.04	-5.27859E-10								
-0.042	-5.53489E-10								
-0.044	-5.76138E-10								
-0.046	-6.09159E-10								
-0.048	-6.50406E-10								
-0.05	-6.74605E-10								
-0.052	-7.13825E-10								
-0.054	-7.447E-10								
-0.056	-7.67946E-10								
-0.058	-8.19206E-10								
-0.06	-8.4722E-10								
-0.062	-8.92401E-10								
-0.064	-9.23872E-10								
-0.066	-9.60708E-10								
-0.068	-1.00589E-9								
-0.07	-1.04666E-9								
-0.072	-1.08933E-9								
-0.074	-1.13368E-9								
-0.076	-1.17886E-9								
-0.078	-1.22547E-9								
-0.08	-1.28114E-9								
-0.082	-1.33443E-9								
